2024-12-07 02:32:54.058 [info] (Client) Pylance async client (2024.12.1) started with python extension (2024.20.0)
2024-12-07 02:32:56.121 [info] [Info  - 2:32:55 AM] (5794) Server root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2024-12-07 02:32:56.141 [info] [Info  - 2:32:56 AM] (5794) Pylance language server 2024.12.1 (pyright version 1.1.389, commit ce1325fc) starting
2024-12-07 02:32:56.142 [info] [Info  - 2:32:56 AM] (5794) Starting service instance "pots"
2024-12-07 02:32:56.410 [info] [Info  - 2:32:56 AM] (5794) Setting environmentName for service "pots": "3.10.12 (usr venv)"
2024-12-07 02:32:56.412 [info] [Info  - 2:32:56 AM] (5794) Setting pythonPath for service "pots": "/bin/python"
2024-12-07 02:32:56.414 [info] [Info  - 2:32:56 AM] (5794) No include entries specified; assuming /home/ubuntu/pots
2024-12-07 02:32:56.418 [info] [Info  - 2:32:56 AM] (5794) Auto-excluding **/node_modules
2024-12-07 02:32:56.419 [info] [Info  - 2:32:56 AM] (5794) Auto-excluding **/__pycache__
2024-12-07 02:32:56.420 [info] [Info  - 2:32:56 AM] (5794) Auto-excluding **/.*
2024-12-07 02:32:56.544 [info] [Info  - 2:32:56 AM] (5794) Assuming Python version 3.10.12.final.0
2024-12-07 02:32:57.041 [info] [Info  - 2:32:57 AM] (5794) Found 1 source file
2024-12-07 02:32:58.686 [info] [Info  - 2:32:58 AM] (5794) Background analysis(1) root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist
2024-12-07 02:32:58.709 [info] [Info  - 2:32:58 AM] (5794) Background analysis(1) started
2024-12-07 02:32:59.088 [info] [Info  - 2:32:59 AM] (5794) Indexer background runner(2) root directory: file:///home/ubuntu/.vscode-server/extensions/ms-python.vscode-pylance-2024.12.1/dist (index)
2024-12-07 02:32:59.090 [info] [Info  - 2:32:59 AM] (5794) Indexing(2) started
2024-12-07 02:33:01.760 [info] [Info  - 2:33:01 AM] (5794) [BG(1)] Long operation: parsing: file:///home/ubuntu/pots/movement_api.py (2273ms)
2024-12-07 02:33:03.947 [info] [Info  - 2:33:03 AM] (5794) [BG(1)] Long operation: indexing: file:///home/ubuntu/pots/movement_api.py (4484ms)
2024-12-07 02:33:13.324 [info] [Info  - 2:33:13 AM] (5794) [BG(1)] Long operation: checking: file:///home/ubuntu/pots/movement_api.py (9097ms)
2024-12-07 02:33:13.332 [info] [Info  - 2:33:13 AM] (5794) [BG(1)] Long operation: analyzing: file:///home/ubuntu/pots/movement_api.py (9336ms)
2024-12-07 02:33:14.204 [info] [Info  - 2:33:14 AM] (5794) [IDX(2)] Long operation: scan packages file:///home/ubuntu/pots (14137ms)
2024-12-07 02:33:14.207 [info] [Info  - 2:33:14 AM] (5794) scanned(2) 286 files over 1 exec env
2024-12-07 02:33:37.654 [info] [Info  - 2:33:37 AM] (5794) [IDX(2)] Long operation: index execution environment file:///home/ubuntu/pots (21969ms)
